Uri,Paint,Author,Museum,Genre,Movement,Content
http://www.wikidata.org/entity/Q979440,Annunciation with St. Margaret and St. Ansanus,Simone Martini,Uffizi Gallery,religious art,Gothic art,Ansano di Siena angelo Annunciazione Maria Maria Geremia Annunciazione Geremia Ansano di Siena angelo
http://www.wikidata.org/entity/Q951105,The Feast in the House of Levi,Paolo Veronese,Gallerie dell'Accademia,religious art,mannerism,Gesù uomo
http://www.wikidata.org/entity/Q9396557,Saints Louis and George with the Princess,Jacopo Tintoretto,Gallerie dell'Accademia,religious art,mannerism,nuvola damigella in pericolo uomo San Giorgio abito da donna Ludovico di Tolosa cielo drago cavallo posizione eretta gimnopodismo posizione seduta donna donna cielo cavallo San Giorgio drago abito da donna Ludovico di Tolosa gimnopodismo posizione seduta nuvola posizione eretta damigella in pericolo uomo
http://www.wikidata.org/entity/Q9301386,Ascent of the Blessed,Hieronymus Bosch,Gallerie dell'Accademia,religious art,Flemish Primitives,angelo
http://www.wikidata.org/entity/Q9281692,Adam and Eve,Jacopo Tintoretto,Gallerie dell'Accademia,nude,Venetian school,Eva mela posizione seduta Foglia di fico uomo Adamo ombelico nudità donna giardino dell'Eden schiena coppia contatto visivo tronco latifoglie cielo albero della conoscenza del bene e del male
http://www.wikidata.org/entity/Q924655,St Mark's Body Brought to Venice,Jacopo Tintoretto,Gallerie dell'Accademia,religious art,mannerism,colonna Marco evangelista cadavere Marco evangelista cadavere colonna Venezia Venezia
http://www.wikidata.org/entity/Q9068409,Portrait of Procurator Jacopo Soranzo,Jacopo Tintoretto,Gallerie dell'Accademia,portrait,Venetian school,uomo uomo
http://www.wikidata.org/entity/Q9015206,Saint John the Baptist,Caravaggio,Galleria Borghese,religious art,Baroque,Giovanni Battista
http://www.wikidata.org/entity/Q867403,Madonna with the Long Neck,Parmigianino,Uffizi,religious art,mannerism,Bambino Gesù ragazzo madre donna donna ragazzo madre Bambino Gesù Maria Maria
http://www.wikidata.org/entity/Q81761474,The Three Eldest Children of Charles I,Anthony van Dyck,Sabauda Gallery,portrait,Baroque,Giacomo II d'Inghilterra merletto berretto colletto cane Carlo II d'Inghilterra abito da donna Maria II d'Inghilterra bambino
http://www.wikidata.org/entity/Q746716,Narcissus,Caravaggio,Galleria Nazionale d'Arte Antica,mythological painting,Baroque,Narciso
http://www.wikidata.org/entity/Q745098,Rest on the Flight into Egypt,Caravaggio,Doria Pamphilj Gallery,religious art,Baroque,Sacra Famiglia angelo donna ragazzo Riposo durante la fuga in Egitto Bambino Gesù Maria
http://www.wikidata.org/entity/Q7401416,Saint Jerome in Penitence,Titian,Pinacoteca di Brera,religious art,Venetian school,San Girolamo
http://www.wikidata.org/entity/Q685916,Crucifixion of St. Peter,Caravaggio,Cerasi Chapel,religious art,Baroque,crocifissione Pietro apostolo uomo
http://www.wikidata.org/entity/Q64606195,St Anthony Preaching to the Fish,Paolo Veronese,Galleria Borghese,religious art,mannerism,folla paesaggio mare Antonio di Padova
http://www.wikidata.org/entity/Q5996597,Paradise,Jacopo Tintoretto,Doge's Palace,religious art,mannerism,angelo Maria Annunciazione Annunciazione Maria
http://www.wikidata.org/entity/Q57530584,San Domenico (Tiziano),Titian,Galleria Borghese,portrait,Renaissance,sacerdote santo sacerdote santo Domenico di Guzmán Domenico di Guzmán
http://www.wikidata.org/entity/Q572697,Pesaro Madonna,Titian,Santa Maria Gloriosa dei Frari,religious art,High Renaissance,cielo Francesco d'Assisi gimnopodismo colonna donna nuvola Pietro apostolo madre preghiera Maria chiave madre colonna cielo barba Ordine francescano Mori Antonio di Padova Bambino Gesù nuvola angelo ragazzo angelo detenuto abito da donna armoriale dei papi posizione seduta natiche barba Pietro apostolo preghiera turchi Mori Antonio di Padova ragazzo donna chiave Ordine francescano Maria nudità mantello abito da donna natiche putto armatura nudità turchi
http://www.wikidata.org/entity/Q555821,Self-portrait,Raphael,Uffizi,self-portrait,High Renaissance,Raffaello Sanzio uomo
http://www.wikidata.org/entity/Q5189812,Crucifixion,Titian,San Domenico,religious art,Venetian school,Gesù
http://www.wikidata.org/entity/Q50884435,The Sacrifice of Isaac,Alessandro Allori,Uffizi,religious art,mannerism,Isacco Abramo
http://www.wikidata.org/entity/Q50617387,Predella of the Barbadori altarpiece,Filippo Lippi,Uffizi,religious art,Renaissance,Maria Spirito Santo Agostino d'Ippona
http://www.wikidata.org/entity/Q493792,Portrait of Andrea Doria as Neptune,Agnolo Bronzino,Pinacoteca di Brera,allegory,mannerism,barba Andrea Doria nudità nudità pelo pubico Nettuno Andrea Doria tridente pelo pubico Andrea Doria nudità tridente tridente barba Nettuno Nettuno barba pelo pubico
http://www.wikidata.org/entity/Q49167493,The death of Saint Mary Magdalene,Francesco Rustici,Uffizi,religious art,Baroque,Angeli Maria Maddalena
http://www.wikidata.org/entity/Q490312,Crucifixion,Jacopo Tintoretto,Scuola Grande di San Rocco,religious art,mannerism,uomo Maria donna Gesù cavallo scala Gesù
http://www.wikidata.org/entity/Q48927682,Saint John the Evangelist and Saint Francis,El Greco,Uffizi,religious art,mannerism,Francesco d'Assisi Giovanni evangelista
http://www.wikidata.org/entity/Q45381203,Bernardino Campi Painting Sofonisba Anguissola,Sofonisba Anguissola,Pinacoteca Nazionale,portrait,mannerism,Bernardino Campi Sofonisba Anguissola
http://www.wikidata.org/entity/Q45361473,Lamentation,Plautilla Nelli,Florence,religious art,mannerism,Gesù
http://www.wikidata.org/entity/Q44421515,Seven Saints in Adoration,Bartolo di Fredi,Basilica of San Domenico,religious art,Sienese School,monaca caucasico santo
http://www.wikidata.org/entity/Q42589069,Triptych of Jan Crabbe. Center table,Hans Memling,Palazzo Chiericati,religious art,Flemish Primitives,Gesù
http://www.wikidata.org/entity/Q4009574,Venus and Adonis,Titian,Galleria Nazionale d'Arte Antica,mythological painting,Venetian school,"posizione seduta pianta del piede cappello arco natiche sonno Afrodite tempesta caccia cane da caccia Eros faretra coppia Adone dito del piede sandalo Guinzaglio brocca contatto visivo gimnopodismo Cupido uomo vestito, donna nuda alba solco intergluteo schiena nudità campagna albero donna nuvola cielo Fossette di Venere uomo Venere"
http://www.wikidata.org/entity/Q3999120,"Benedetto Portinari triptych: Right wing, Portrait of a Praying Man",Hans Memling,Uffizi,portrait,Flemish Primitives,Benedetto d'Aniane
http://www.wikidata.org/entity/Q3999110,Annunciation Triptych,Rogier van der Weyden,Sabauda Gallery,religious art,Flemish Primitives,Annunciazione donna Maria angelo
http://www.wikidata.org/entity/Q3978276,Susannah and the Elders,Paolo Veronese,Palazzo Bianco,nude,mannerism,Susanna topless donna igiene corporale Susanna topless donna mammella igiene corporale mammella
http://www.wikidata.org/entity/Q3947595,St. Mark Enthroned,Titian,Santa Maria della Salute,religious art,Venetian school,donna Maria
http://www.wikidata.org/entity/Q3947211,Saint George,Titian,Cini Foundation,religious art,Venetian school,drago armatura San Giorgio armatura posizione eretta uomo San Giorgio drago posizione eretta uomo
http://www.wikidata.org/entity/Q3946912,Saint Christopher,Jacopo Tintoretto,Museo d'Arte Sacra San Martino,religious art,Venetian school,San Cristoforo
http://www.wikidata.org/entity/Q3946910,Saint Christopher,Titian,Doge's Palace,religious art,Venetian school,Bambino Gesù ragazzo San Cristoforo
http://www.wikidata.org/entity/Q3944515,Balbi Holy Conversation,Titian,Fondazione Magnani-Rocca,religious art,Venetian school,Bambino Gesù donna madre ragazzo Maria
http://www.wikidata.org/entity/Q3937774,Equestrian portrait of Anton Giulio Brignole-Sale,Anthony van Dyck,Palazzo Rosso,equestrian portrait,Baroque,uomo cavallo Anton Giulio Brignole Sale equitazione
http://www.wikidata.org/entity/Q3937768,Portrait of a gentleman in a fur,Paolo Veronese,Galleria Palatina,portrait,mannerism,Daniele Barbaro
http://www.wikidata.org/entity/Q3937761,Knight of Malta,Titian,Uffizi Gallery,religious art,Venetian school,ragazzo Maria Maria ragazzo donna donna Bambino Gesù Bambino Gesù
http://www.wikidata.org/entity/Q3937643,Portrait of Pope Paul III,Titian,National Museum of Capodimonte,portrait,Venetian school,papa Paolo III
http://www.wikidata.org/entity/Q3937569,Portrait of Ippolito de' Medici,Titian,Palazzo Pitti,portrait,Venetian school,Ippolito de' Medici uomo
http://www.wikidata.org/entity/Q3937561,Giulio Clovia,El Greco,National Museum of Capodimonte,portrait,mannerism,Giulio Clovio
http://www.wikidata.org/entity/Q3937531,Portrait of Francesco Maria della Rovere,Titian,Uffizi Gallery,portrait,Venetian school,Francesco Maria I Della Rovere armatura
http://www.wikidata.org/entity/Q3937511,Portrait of Eleonora Gonzaga,Titian,Uffizi Gallery,portrait,Venetian school,Eleonora Gonzaga della Rovere
http://www.wikidata.org/entity/Q3937458,Portrait of Alvise Cornaro,Jacopo Tintoretto,Palazzo Pitti,portrait,Venetian school,Alvise Corner uomo
http://www.wikidata.org/entity/Q3937435,Equestrian portrait of Prince Tomaso of Savoy-Carignan (1595–1656),Anthony van Dyck,Sabauda Gallery,equestrian portrait,Baroque,uomo equitazione militare merletto tenda colonna nuvola capelli lunghi morso colletto piante panneggio Tommaso Francesco di Savoia pizzetto Bastone da feldmaresciallo staffa militare capelli lunghi staffa panneggio morso cielo sciarpa (distintivo) colletto sciarpa (distintivo) porta baffi pizzetto colonna porta baffi cavallo piante nuvola Bastone da feldmaresciallo equitazione testiera tenda armatura merletto Tommaso Francesco di Savoia cielo uomo armatura cavallo testiera
http://www.wikidata.org/entity/Q3937427,Portrait of Cardinal Guido Bentivoglio,Anthony van Dyck,Galleria Palatina,portrait,Baroque,Guido Bentivoglio
http://www.wikidata.org/entity/Q3910929,The Presentation of the Virgin at the Temple,Titian,Gallerie dell'Accademia,religious art,Venetian school,Maria
http://www.wikidata.org/entity/Q3910087,St. Mark Preaching in Alexandria,Gentile Bellini,Pinacoteca di Brera,religious art,Renaissance,Alessandria d'Egitto obelisco dromedario obelisco dromedario Alessandria d'Egitto Giraffa settentrionale Marco evangelista Marco evangelista Giraffa settentrionale
http://www.wikidata.org/entity/Q3907473,Averoldi Polyptych,Titian,Brescia,religious art,Venetian school,uomo Annunciazione Gesù Maria donna angelo
http://www.wikidata.org/entity/Q3889243,Altarpiece Gambassi,Andrea del Sarto,Galleria Palatina,religious art,High Renaissance,Bambino Gesù donna madre ragazzo capelli lunghi Maria Maddalena Maria
http://www.wikidata.org/entity/Q3889203,Gozzi Altarpiece,Titian,"Pinacoteca civica ""Francesco Podesti""",religious art,Venetian school,Bambino Gesù Francesco d'Assisi apparizioni e altre manifestazioni mariane Biagio di Sebaste
http://www.wikidata.org/entity/Q3885620,Orpheus and Eurydice,Titian,Accademia Carrara,mythological painting,Venetian school,Euridice Orfeo
